CATCODE,CLASS,SUBCLASS,NAME,NUM_1,UNIT_1,H,COUNTY,ST,LATITUDE,LONGITUDE,ALT (ft ASL),R95 (sm),VNTK_M,VNTK_S,DATE REVIEWED,REVIEWER,CHANGE_LOG1,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-08 AN/FPS-117 COLD BAY AK,1,,US,ALEUTIANS EAST,AK,55.24513,-162.77004,98,0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",COLD BAY,"7,042",EMB/YR,US,ALEUTIANS EAST,AK,55.20592,-162.72625,76,1.2,09P0,12P0,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",SAND POINT,"3,636",EMB/YR,US,ALEUTIANS EAST,AK,55.31370,-160.52142,10,0.50,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",ADAK,726,EMB/YR,US,ALEUTIANS WEST,AK,51.88358,-176.64248,20,1.1,09P0,12P0,20201015,DMT,,
80030,OMT,"AIRFIELDS, MILITARY",CASCO COVE CGS,1,EMB/YR,US,ALEUTIANS WEST,AK,52.83254,173.17555,41,0.60,09P0,12P0,20220202,DMT,,
85100,LC3,RADAR SYSTEMS,COBRA DANE AN/FPS-108 SHEMYA AFS AK,1,,US,ALEUTIANS WEST,AK,52.73715,174.09101,211,0.03,10Q7,10Q7,20220202,DMT,,
80030,OMT,"AIRFIELDS, MILITARY",EARECKSON AS,1,EMB/YR,US,ALEUTIANS WEST,AK,52.71226,174.11359,81,0.95,09P0,12P0,20220202,DMT,,
75200,OMT,MILITARY BASES,EARECKSON AS,1,,US,ALEUTIANS WEST,AK,52.72104,174.10714,160,2.2,09P0,12P0,20220201,DMT,,
21820,OMT,POL STORAGE,POL STORAGE EARECKSON AS 1,1,,US,ALEUTIANS WEST,AK,52.71429,174.12503,115,0.05,21Q9,21Q9,20220202,DMT,,
21820,OMT,POL STORAGE,POL STORAGE EARECKSON AS 2,1,,US,ALEUTIANS WEST,AK,52.73230,174.08821,137,0.05,21Q9,21Q9,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",SAINT PAUL ISLAND,"2,596",EMB/YR,US,ALEUTIANS WEST,AK,57.16631,-170.22256,45,0.60,09P0,12P0,20201015,DMT,,
99999,OMT,"MILITARY FORCES, AIRCRAFT","176TH WING (C-17A, HC-130J, HH-60J)",1,AS,US,ANCHORAGE,AK,61.25873,-149.80918,186,0.50,12P0,14P0,20220202,DMT,,
99999,OMT,"MILITARY FORCES, AIRCRAFT","3RD WING (C-12, C-17A, E-3, F-22A)",2,FS,US,ANCHORAGE,AK,61.24775,-149.79643,183,0.75,12P0,14P0,20220202,DMT,,
41920,LC3,4ESS SWITCH,4ESS SWITCH (ANCRAKZA),1,,US,ANCHORAGE,AK,61.23190,-149.87411,119,0.02,10Q6,12Q7,20220202,DMT,,
75200,OMT,MILITARY BASES,ALASKA ARNG AASF BRYANT HELIPORT,1,,US,ANCHORAGE,AK,61.26404,-149.66342,350,0.10,09P0,12P0,20220201,DMT,,
91400,LC3,STATE AREA HQ,ALASKA NG JFHQ JBER AK,1,,US,ANCHORAGE,AK,61.27021,-149.66640,394,0.10,10P0,12P0,20220202,DMT,,
82000,LC3,AIR DEFENSE CONTROL SITES,ALASKA RAOC ELMENDORF AFB AK,1,,US,ANCHORAGE,AK,61.24434,-149.81113,177,0.03,10Q7,13Q7,20220202,DMT,,
74201,LC3,STATE EOC,ALASKA STATE EOC,1,,US,ANCHORAGE,AK,61.27054,-149.63854,400,0.10,10P0,12P2,20220202,DMT,,
74300,LC3,CITY HALL,ANCHORAGE CITY HALL,"291,247",POPULATION,US,ANCHORAGE,AK,61.21632,-149.89481,96,0.10,10P0,12P2,20220202,DMT,,
85600,LC3,ARTCC,ARTCC ANCHORAGE,1,,US,ANCHORAGE,AK,61.22943,-149.78110,190,0.05,10Q7,13Q7,20220202,DMT,,
80030,OMT,"AIRFIELDS, MILITARY",ELMENDORF AFB,1,EMB/YR,US,ANCHORAGE,AK,61.25094,-149.80637,179,1.5,09P0,12P0,20220202,DMT,,
41910,LC3,SPECIAL COMMS,HF GLOBAL ELMENDORF AFB AK,1,,US,ANCHORAGE,AK,61.24765,-149.72262,259,0.40,10Q6,12Q7,20220202,DMT,,
75200,OMT,MILITARY BASES,JOINT BASE ELMENDORF-RICHARDSON,1,,US,ANCHORAGE,AK,61.26168,-149.73858,184,5.0,09P0,12P0,20220201,DMT,,
21820,OMT,POL STORAGE,POL STORAGE ELMENDORF AFB 1,1,,US,ANCHORAGE,AK,61.25257,-149.85000,266,0.05,21Q9,21Q9,20220202,DMT,,
21820,OMT,POL STORAGE,POL STORAGE ELMENDORF AFB 2,1,,US,ANCHORAGE,AK,61.25674,-149.83368,238,0.05,21Q9,21Q9,20220202,DMT,,
21820,OMT,POL STORAGE,POL STORAGE ELMENDORF AFB 3,1,,US,ANCHORAGE,AK,61.25900,-149.82415,239,0.05,21Q9,21Q9,20220202,DMT,,
21820,OMT,POL STORAGE,POL STORAGE ELMENDORF AFB 4,1,,US,ANCHORAGE,AK,61.26316,-149.81305,207,0.05,21Q9,21Q9,20220202,DMT,,
47400,ECON,PORT FACILITIES,PORT OF ANCHORAGE,339,kTEU,US,ANCHORAGE,AK,61.24028,-149.88611,32,0.40,14Q6,15Q6,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",TED STEVENS - ANCHORAGE INTERNATIONAL,"2,713,843",EMB/YR,US,ANCHORAGE,AK,61.17408,-149.99814,103,1.7,09P0,12P0,20201015,DMT,,
80011,ECON,AIRFIELD CARGO FACILITIES,TED STEVENS - ANCHORAGE INTERNATIONAL CARGO AREA,"18,306,699,196",LBLW19,US,ANCHORAGE,AK,61.19318,-149.99992,101,0.50,09P0,12P0,20220202,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP WEST COUNTY ENERGY CENTER,"4,263",MW,US,PALM BEACH,FL,26.69957,-80.37532,25,0.30,14Q7,18Q7,20220202,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP W A PARISH,"4,008",MW,US,FORT BEND,TX,29.47764,-95.63462,72,0.15,14Q7,18Q7,20220202,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP SCHERER,"3,564",MW,US,MONROE,GA,33.06050,-83.80750,466,0.25,14Q7,18Q7,20220202,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-06 AN/FPS-117 SPARREVOHN AK,1,,US,BETHEL,AK,61.11915,-155.59611,"3,273",0.03,10Q7,10Q7,20220202,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-09 AN/FPS-117 CAPE NEWENHAM AK,1,,US,BETHEL,AK,58.62664,-162.07593,"1,916",0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",ANIAK,"12,853",EMB/YR,US,BETHEL,AK,61.58160,-159.54304,57,0.60,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",BETHEL,"160,874",EMB/YR,US,BETHEL,AK,60.77856,-161.83717,103,0.60,09P0,12P0,20201015,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-07 AN/FPS-117 KING SALMON AK,1,,US,BRISTOL BAY,AK,58.69262,-156.67020,68,0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",KING SALMON,"44,131",EMB/YR,US,BRISTOL BAY,AK,58.67649,-156.64869,65,0.90,09P0,12P0,20201015,DMT,,
75200,OMT,MILITARY BASES,KING SALMON AFS,1,,US,BRISTOL BAY,AK,58.69135,-156.66297,56,0.60,09P0,12P0,20220201,DMT,,
21820,OMT,POL STORAGE,POL STORAGE KING SALMON AFS,1,,US,BRISTOL BAY,AK,58.69427,-156.67211,76,0.05,21Q9,21Q9,20220202,DMT,,
21110,ECON,OIL REFINERIES,ARCTIC SLOPE REGIONAL,"55,000",BBLPD,US,CHUGACH,AK,61.08394,-146.25195,25,0.15,13Q7,15Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",MERLE K (MUDHOLE) SMITH,"17,654",EMB/YR,US,CHUGACH,AK,60.49178,-145.47756,50,0.75,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",VALDEZ PIONEER FIELD,"10,050",EMB/YR,US,CHUGACH,AK,61.13422,-146.24476,89,0.60,09P0,12P0,20201015,DMT,,
