Latitude,Longitude,Name,State/Territory,Yield (kt),HOB (m)
42.57680,-83.04588,ACOMB_01,MI,800,"1,690"
39.73418,-77.41991,ADAMS_04,PA,800,"1,690"
37.80569,-122.31644,ALAMEDA_01,CA,800,"1,690"
37.80588,-122.26914,ALAMEDA_02,CA,800,"1,690"
38.80338,-77.10271,ALEXANDRIA (IC)_05,VA,800,"1,690"
41.09622,-85.17195,ALLEN_02,IN,800,"1,690"
35.98697,-84.25606,ANDERSON_01,TN,800,"1,690"
39.10866,-76.77133,ANNE ARUNDEL_03,MD,800,"1,690"
45.05850,-93.27641,ANOKA_01,MN,800,"1,690"
39.29344,-76.61454,BALTIMORE_01,MD,800,"1,690"
39.24914,-76.55655,BALTIMORE_02,MD,800,"1,690"
39.46790,-76.64098,BALTIMORE_06,MD,800,"1,690"
40.82881,-74.09555,BERGEN_01,NJ,800,"1,690"
35.08521,-106.65087,BERNALILLO_01,NM,800,"1,690"
35.17351,-106.56737,BERNALILLO_04,NM,800,"1,690"
35.05152,-106.54284,BERNALILLO_06,NM,800,"1,690"
29.44748,-98.64070,BEXAR_01,TX,800,"1,690"
29.42961,-98.48914,BEXAR_02,TX,800,"1,690"
29.53236,-98.28029,BEXAR_06,TX,800,"1,690"
41.66398,-112.43418,BOX ELDER_01,UT,800,"1,690"
28.98734,-95.37730,BRAZORIA_01,TX,800,"1,690"
28.03104,-80.60077,BREVARD_12,FL,800,"1,690"
41.95074,-71.13219,BRISTOL_01,MA,800,"1,690"
40.86204,-73.88570,BRONX_01,NY,800,"1,690"
39.97651,-74.91529,BURLINGTON_03,NJ,800,"1,690"
30.24116,-93.27022,CALCASIEU_02,LA,800,"1,690"
35.30912,-101.55870,CARSON_01,TX,800,"1,690"
35.33064,-101.55870,CARSON_02,TX,800,"1,690"
32.07742,-81.13297,CHATHAM_01,GA,800,"1,690"
36.78795,-76.31016,CHESAPEAKE (IC)_01,VA,800,"1,690"
39.83881,-83.84481,CLARK_01,NV,800,"1,690"
36.16751,-115.14837,CLARK_02,NV,800,"1,690"
39.09660,-94.57847,CLAY_01,MO,800,"1,690"
35.38002,-86.23685,COFFEE_02,TN,800,"1,690"
