Latitude,Longitude,Name,Description,Icon,ep_Circle,PolygonFillType,,,,,,,,,,,
52.71429,174.12503,POL STORAGE EARECKSON AS 1,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
52.71226,174.11359,EARECKSON AS,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
52.72104,174.10714,EARECKSON AS,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
52.73715,174.09101,COBRA DANE AN/FPS-108 SHEMYA AFS AK,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
52.73230,174.08821,POL STORAGE EARECKSON AS 2,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
52.83254,173.17555,CASCO COVE CGS,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
19.28249,166.63666,WAKE ISLAND AIRFIELD,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
15.12026,145.72998,FRANCISCO C ADA/SAIPAN INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
14.99923,145.61935,TINIAN INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
14.17436,145.24113,BENJAMIN TAISACAN MANGLONA INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.58013,144.93909,POL STORAGE ANDERSEN AFB 2,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.58388,144.93006,ANDERSEN AFB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.59065,144.92088,POL STORAGE ANDERSEN AFB 3,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.56554,144.91231,POL STORAGE ANDERSEN AFB 1,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.59928,144.89503,ANDERSEN AFB,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.61519,144.85580,AFSCN TRACKING STATION (GUAM) DEDEDO GM,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.58791,144.84088,NASA TDRSS GROUND TERMINAL (GRGT-GUAM) GM,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.47832,144.83779,HF GLOBAL ANDERSEN AFB GU,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.54365,144.81245,CABLE LANDING STATION TANGUISSON GM,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.47407,144.80989,GUAM ARNG BARRIGADA COMPLEX,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.50325,144.80467,CABLE LANDING STATION TUMON BAY GM,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.48395,144.79713,GUAM INTERNATIONAL,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.47519,144.73665,GUAM EOC,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
13.42897,144.66356,NAVAL BASE GUAM,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
27.49715,-97.81303,NAS KINGSVILLE,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
17.70150,-64.80194,HENRY E ROHLSEN,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.33731,-64.97333,CYRIL E KING,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
18.09622,-65.51223,VIEQUES WEST,MI,98,"15,600",FilledAndOutlined,,,,,,,,,,,
