Latitude,Longitude,County,State/Territory,Yield (kt),HOB (m)
41.42121,-103.97727,BANNER,NE,200,100
41.42359,-103.77145,BANNER,NE,200,100
41.43774,-103.66127,BANNER,NE,200,100
41.46505,-103.42738,BANNER,NE,200,100
41.47266,-103.88800,BANNER,NE,200,100
41.48262,-103.58177,BANNER,NE,200,100
41.48645,-103.79156,BANNER,NE,200,100
41.51154,-103.99463,BANNER,NE,200,100
41.51184,-103.49463,BANNER,NE,200,100
41.51661,-103.65641,BANNER,NE,200,100
41.53542,-103.90700,BANNER,NE,200,100
41.58046,-103.67388,BANNER,NE,200,100
41.58117,-103.80299,BANNER,NE,200,100
41.58226,-103.55366,BANNER,NE,200,100
41.63895,-103.84313,BANNER,NE,200,100
41.63904,-103.94525,BANNER,NE,200,100
41.63952,-103.75115,BANNER,NE,200,100
41.64649,-103.52024,BANNER,NE,200,100
41.68290,-103.67507,BANNER,NE,200,100
41.46505,-103.42738,BANNER,NE,800,0
41.51184,-103.49463,BANNER,NE,800,0
41.64649,-103.52024,BANNER,NE,800,0
41.58226,-103.55366,BANNER,NE,800,0
41.48262,-103.58177,BANNER,NE,800,0
41.51661,-103.65641,BANNER,NE,800,0
41.43774,-103.66127,BANNER,NE,800,0
41.58046,-103.67388,BANNER,NE,800,0
41.68290,-103.67507,BANNER,NE,800,0
41.63952,-103.75115,BANNER,NE,800,0
41.42359,-103.77145,BANNER,NE,800,0
41.48645,-103.79156,BANNER,NE,800,0
41.58117,-103.80299,BANNER,NE,800,0
41.63895,-103.84313,BANNER,NE,800,0
41.47266,-103.88800,BANNER,NE,800,0
41.53542,-103.90700,BANNER,NE,800,0
41.63904,-103.94525,BANNER,NE,800,0
41.42121,-103.97727,BANNER,NE,800,0
41.51154,-103.99463,BANNER,NE,800,0
35.00876,-106.54942,BERNALILLO,NM,200,0
35.00876,-106.54942,BERNALILLO,NM,200,100
32.50193,-93.66263,BOSSIER,LA,200,0
32.50193,-93.66263,BOSSIER,LA,200,100
32.50826,-93.64213,BOSSIER,LA,200,0
32.50826,-93.64213,BOSSIER,LA,200,100
48.79417,-101.14462,BOTTINEAU,ND,800,0
48.87044,-101.21111,BOTTINEAU,ND,800,0
48.76165,-101.23733,BOTTINEAU,ND,800,0
48.96683,-101.26032,BOTTINEAU,ND,800,0
48.82455,-101.28243,BOTTINEAU,ND,800,0
48.69888,-101.30155,BOTTINEAU,ND,800,0
48.89243,-101.30724,BOTTINEAU,ND,800,0
48.76171,-101.34853,BOTTINEAU,ND,800,0
48.94845,-101.36723,BOTTINEAU,ND,800,0
48.82441,-101.38899,BOTTINEAU,ND,800,0
48.69209,-101.41083,BOTTINEAU,ND,800,0
48.89060,-101.42982,BOTTINEAU,ND,800,0
48.76488,-101.47142,BOTTINEAU,ND,800,0
48.69209,-101.41083,BOTTINEAU,ND,200,100
48.69888,-101.30155,BOTTINEAU,ND,200,100
48.76165,-101.23733,BOTTINEAU,ND,200,100
48.76171,-101.34853,BOTTINEAU,ND,200,100
48.76488,-101.47142,BOTTINEAU,ND,200,100
48.79417,-101.14462,BOTTINEAU,ND,200,100
48.82441,-101.38899,BOTTINEAU,ND,200,100
48.82455,-101.28243,BOTTINEAU,ND,200,100
48.87044,-101.21111,BOTTINEAU,ND,200,100
48.89060,-101.42982,BOTTINEAU,ND,200,100
48.89243,-101.30724,BOTTINEAU,ND,200,100
48.94845,-101.36723,BOTTINEAU,ND,200,100
48.96683,-101.26032,BOTTINEAU,ND,200,100
48.80853,-102.16094,BURKE,ND,800,0
48.73583,-102.20432,BURKE,ND,800,0
48.85909,-102.23793,BURKE,ND,800,0
48.93071,-102.24142,BURKE,ND,800,0
48.78947,-102.26872,BURKE,ND,800,0
