Latitude,Longitude,Name,Description,Icon,ep_Circle,PolygonFillType
55.20592,-162.72625,ALEUTIANS EAST_01,AK,98,250,0
52.73715,174.09101,ALEUTIANS WEST_01,AK,98,250,1170
51.88358,-176.64248,ALEUTIANS WEST_02,AK,98,250,0
57.16631,-170.22256,ALEUTIANS WEST_03,AK,98,250,0
52.71226,174.11359,ALEUTIANS WEST_04,AK,98,250,0
61.17408,-149.99814,ANCHORAGE_01,AK,98,200,0
61.25296,-149.79369,ANCHORAGE_02,AK,98,250,0
61.27054,-149.63854,ANCHORAGE_03,AK,98,200,1060
61.22943,-149.78110,ANCHORAGE_04,AK,98,200,1060
61.23190,-149.87411,ANCHORAGE_05,AK,98,200,1060
61.24765,-149.72262,ANCHORAGE_06,AK,98,200,1060
58.67798,-156.65193,BRISTOL BAY_01,AK,98,250,0
64.30020,-149.18977,DENALI_01,AK,98,250,1170
64.66564,-147.10144,FAIRBANKS NORTH STAR_01,AK,98,250,0
64.81608,-147.86125,FAIRBANKS NORTH STAR_02,AK,98,200,0
64.83761,-147.61449,FAIRBANKS NORTH STAR_03,AK,98,200,0
58.30085,-134.40695,JUNEAU_01,AK,98,100,840
58.35471,-134.57847,JUNEAU_02,AK,98,100,0
60.68516,-151.36714,KENAI PENINSULA_01,AK,98,100,840
64.51073,-165.44474,NOME_01,AK,98,250,0
57.04683,-135.36107,SITKA_01,AK,98,250,0
63.96676,-145.71512,SOUTHEAST FAIRBANKS_01,AK,98,200,1060
33.73361,-85.78798,CALHOUN_01,AL,98,200,1060
33.63084,-85.94977,CALHOUN_02,AL,98,200,1060
32.79725,-86.56873,CHILTON_01,AL,98,100,840
31.36260,-85.84898,COFFEE_01,AL,98,200,1060
31.33306,-85.71300,DALE_01,AL,98,200,1060
31.32224,-85.45187,DALE_02,AL,98,200,0
31.27655,-85.71278,DALE_03,AL,98,200,1060
31.15714,-87.15448,ESCAMBIA_01,AL,98,200,0
31.22108,-85.11126,HOUSTON_01,AL,98,250,0
33.51711,-86.81249,JEFFERSON_01,AL,98,100,840
33.48017,-86.70583,JEFFERSON_02,AL,98,100,840
33.56886,-86.74725,JEFFERSON_03,AL,98,200,0
34.70417,-87.11505,LIMESTONE_01,AL,98,250,0
34.63719,-86.77506,MADISON_01,AL,98,200,1060
34.64469,-86.65751,MADISON_02,AL,98,200,1060
34.67865,-86.68478,MADISON_03,AL,98,200,0
34.72884,-86.68146,MADISON_04,AL,98,100,840
32.52017,-87.88030,MARENGO_01,AL,98,250,0
30.69142,-88.24283,MOBILE_01,AL,98,200,1060
30.94184,-88.01218,MOBILE_02,AL,98,100,840
